ticker,prev_open,prev_close,prev_high,prev_low,prev_volume,min_close,overnight_change
TBPH,11.01,11.16,11.18,10.97,157054.0,10.9,-0.023297491039426466
ARP,28.52,28.4137,28.52,28.4137,184.0,28.4199,0.00021820459848598261
MEG,22.01,22.69,23.88,21.955,347370.0,20.48,-0.09739973556632886
RTX,158.11,157.57,158.225,156.75,4795979.0,156.92,-0.0041251507266611975
DFGX,53.4,53.385,53.41,53.3748,44652.0,53.545,0.0029970965627048596
SHYL,45.28,45.144,45.28,45.11,23236.0,44.84,-0.006734006734006592
BCD,32.95,32.9548,32.999,32.8698,140321.0,32.84,-0.0034835592994039155
YHNA,10.37,10.37,10.37,10.37,100.0,10.35,-0.0019286403085824189
AMRK,21.3,21.28,21.94,21.1,192499.0,20.56,-0.03383458646616555
NVTS,7.55,7.33,7.785,7.31,20828679.0,7.85,0.07094133697135052
MYN,9.19,9.2,9.23,9.17,155079.0,9.29,0.009782608695652062
OMEX,1.41,1.29,1.4409,1.26,1857703.0,1.4002,0.0854263565891471
RUSC,28.2099,28.0079,28.2299,28.0079,4129.0,27.52,-0.017420085047433087
PNRG,169.01,168.57,172.58,165.35,70982.0,158.55,-0.059441181704929624
ROIV,11.3,11.36,11.505,11.26,3547926.0,11.31,-0.004401408450704136
AZNH,45.43,44.4364,45.95,44.4364,7911.0,44.74,0.006832236634831013
SDSI,51.416,51.39,51.416,51.3886,1261.0,51.32,-0.001362132710644115
SHOT,0.735,0.79,0.95,0.735,8476005.0,1.01,0.2784810126582278
NAGE,9.54,9.35,9.6066,9.22,754871.0,9.09,-0.027807486631016065
EUDAW,0.11,0.14,0.145,0.11,12200.0,0.0,0.0
UVE,23.36,23.64,23.91,23.36,191802.0,23.0,-0.027072758037225086
CTApA,54.2094,54.2094,54.2094,54.2094,158.0,54.2201,0.00019738274173852766
CFSB,13.95,13.97,13.98,13.95,1822.0,13.88,-0.006442376521116677
TASK,17.03,17.08,17.095,17.03,204724.0,17.03,-0.0029274004683839117
NREFpA,23.65,23.85,23.85,23.65,1321.0,23.76,-0.0037735849056603765
EZM,62.96,62.6445,63.29,62.55,13851.0,61.69,-0.015236772581790903
PCGpH,15.73,15.95,15.95,15.73,891.0,15.8,-0.00940438871473348
EUFN,32.05,32.07,32.235,32.02,551216.0,31.72,-0.010913626442157875
XCOR,74.7,74.11,74.7,74.11,4782.0,73.27,-0.011334502766158439
DMCY,28.0194,28.0194,28.0194,28.0194,4.0,0.0,0.0
XOCT,36.2,36.1191,36.2,36.1191,2538.0,35.9251,-0.005371119435423455
WAFU,1.4618,1.43,1.4618,1.425,5855.0,1.4,-0.020979020979021046
PYPD,3.49,3.36,3.49,3.34,59373.0,3.41,0.01488095238095255
ETJ,9.02,8.97,9.03,8.92,236871.0,8.88,-0.010033444816053505
EVGOW,0.196,0.1861,0.199,0.1853,87717.0,0.1789,-0.03868887694787737
RPT,2.64,2.6,2.66,2.6,190288.0,2.6,0.0
MRM,1.1078,1.19,1.218,1.1078,4355.0,1.2212,0.026218487394958023
GDXD,3.08,3.16,3.205,3.04,13991584.0,3.02,-0.044303797468354444
QWLD,134.32,133.468,134.71,133.468,1943.0,132.4501,-0.007626547187340793
DNOW,15.51,15.56,15.72,15.36,1514528.0,14.74,-0.0526992287917738
NZAC,40.21,39.7692,40.21,39.761,2671.0,39.31,-0.011546624020598695
QQQH,53.5,53.0116,53.5,52.9403,16485.0,52.3001,-0.013421590746176326
DBEF,44.55,44.35,44.705,44.245,790075.0,43.7,-0.01465614430665163
FNB,15.4,15.32,15.47,15.27,7664718.0,14.81,-0.03328981723237601
BLMN,9.43,9.11,9.46,9.04,2252442.0,8.99,-0.013172338090010838
CBAT,0.97,0.905,0.97,0.7975,639986.0,0.895,-0.011049723756906049
PSLV,12.42,12.42,12.46,12.32,35059650.0,12.57,0.012077294685990392
QQDN,31.566,32.4844,32.4844,31.53,3853.0,34.43,0.05989336419943103
RVSN,0.38,0.3688,0.3939,0.365,543048.0,0.4149,0.125
KYTX,3.7,3.57,3.8007,3.56,177701.0,3.44,-0.036414565826330514
SRGpA,22.72,22.65,22.76,22.6,8809.0,22.5,-0.0066225165562913135
OBK,36.65,36.55,37.04,36.365,257979.0,35.32,-0.03365253077975372
BMI,190.86,188.76,195.0,188.195,473023.0,181.3,-0.03952108497563034
SGI,72.43,72.38,72.96,71.825,1258003.0,72.19,-0.0026250345399281283
HPK,9.97,9.97,10.18,9.655,461609.0,8.81,-0.11634904714142424
SRpA,23.9583,24.25,24.25,23.92,30529.0,24.2,-0.0020618556701030855
BOF,2.33,2.23,2.34,2.2,250380.0,2.22,-0.004484304932735328
LGCB,2.65,2.6,2.66,2.59,4388.0,2.54,-0.023076923076923106
PARAA,18.96,19.09,19.62,18.0,252610.0,19.613,0.02739654269250913
TAFM,24.71,24.72,24.75,24.68,72337.0,24.76,0.0016181229773464256
ELM,26.03,25.8908,26.0399,25.88,30338.0,25.79,-0.003893274831214155
CE,53.29,52.23,54.0,51.98,2516096.0,49.5,-0.052268811028144735
SCS,10.19,10.33,10.35,10.18,605135.0,10.18,-0.014520813165537327
MTG,25.61,25.9,26.215,25.53,3639958.0,26.3999,0.019301158301158416
SOTK,3.2613,3.31,3.35,3.25,6941.0,3.31,0.0
GSpC,21.61,21.44,21.61,21.34,28454.0,21.4,-0.001865671641791189
QNTM,23.1,23.47,24.7,22.8,92364.0,23.37,-0.004260758414997734
EOD,5.59,5.59,5.5997,5.56,117444.0,5.5,-0.01610017889087656
TEXN,26.1405,25.8216,26.1405,25.8,5229.0,25.445,-0.014584688787681599
QCMD,25.49,26.47,26.48,24.951,2702.0,26.382,-0.003324518322629255
BBCA,80.715,80.45,81.21,80.29,312201.0,80.0,-0.005593536357986317
XJAN,35.37,35.29,35.37,35.29,421.0,35.13,-0.004533862283933043
DLTR,113.47,113.55,114.12,112.9,3221457.0,114.72,0.010303830911492673
BFK,9.55,9.57,9.6399,9.53,123530.0,9.58,0.0010449320794148065
FDTS,51.3064,51.3064,51.3064,51.3064,20.0,51.155,-0.0029508989131958874
RYAAY,62.67,62.27,62.855,61.7,1140131.0,62.12,-0.0024088646218083376
ADC,72.2,71.7,73.0,71.48,963883.0,73.73,0.028312412831241307
FRPT,72.28,68.32,72.28,67.91,1026074.0,65.9,-0.03542154566744715
JPSV,56.37,56.0313,56.37,56.0313,2312.0,55.37,-0.011802331910914177
SROI,31.6607,31.6607,31.6607,31.6607,98.0,31.31,-0.0110768239489335
FDRV,15.15,15.0676,15.1754,15.0676,8379.0,14.86,-0.01377790756324837
ICCM,1.04,1.02,1.045,1.01,1282264.0,1.01,-0.009803921568627416
ESPR,1.38,1.42,1.43,1.36,3295949.0,1.4,-0.014084507042253502
FDBC,40.65,40.44,41.1,39.97,10975.0,39.81,-0.015578635014836695
MIN,2.67,2.69,2.69,2.65,133428.0,2.68,-0.0037174721189590088
FSM,6.51,6.45,6.555,6.415,7906984.0,6.51,0.009302325581395321
BND,73.35,73.2,73.3599,73.181,6463220.0,73.59,0.00532786885245895
JPME,104.86,104.3381,105.4899,104.3381,11334.0,103.48,-0.008224224899629151
KMX,57.68,56.61,58.33,56.41,4338976.0,56.0,-0.010775481363716644
SCHK,30.87,30.51,30.895,30.46,1008826.0,30.0,-0.01671583087512296
BBN,16.1,16.19,16.195,16.025,181547.0,16.41,0.013588634959851742
PRQR,2.11,2.1,2.185,2.1,176852.0,2.075,-0.011904761904761862
CUBE,40.82,38.91,41.07,38.58,4952447.0,39.9,0.025443330763299965
AVRE,43.92,43.53,44.0252,43.4993,55983.0,43.62,0.002067539627842674
QCLN,35.58,35.29,35.9667,35.09,68831.0,34.94,-0.009917823746103727
FGMCU,10.09,10.22,10.22,10.09,12126.0,10.12,-0.009784735812133238
MOTE,28.2843,28.2843,28.2843,28.2843,12.0,0.0,0.0
TAVIR,0.184999,0.17005,0.19,0.17005,15699.0,0.0,0.0
ALLpB,25.8,25.92,25.94,25.7205,81333.0,26.05,0.005015432098765427
BLKB,70.55,67.42,70.94,67.33,837578.0,65.28,-0.03174132304954025
BTI,53.82,53.68,54.2,53.255,6334205.0,54.4799,0.014901266766020882
CVGW,26.26,26.3,26.57,26.18,228331.0,26.32,0.0007604562737641984
XNCR,8.55,8.32,8.87,8.31,721806.0,7.98,-0.04086538461538458
BSET,16.14,15.82,16.41,15.61,30700.0,15.57,-0.015802781289506962
TRTNpB,25.36,25.22,25.36,25.1,5792.0,25.2,-0.0007930214115781098
CADEpA,20.91,21.38,21.59,20.7839,36547.0,21.39,0.000467726847521055
DUST,24.33,24.76,25.04,24.1347,1301708.0,23.94,-0.033117932148626794
FLCE,26.7631,26.6339,26.7631,26.6339,1041.0,26.35,-0.010659347673453778
EHC,109.33,110.11,111.65,109.09,1234514.0,110.42,0.0028153664517300836
IWP,143.41,141.42,143.83,141.24,694305.0,139.17,-0.015910055154857883
BNZIW,0.0213,0.0251,0.0289,0.0212,2476.0,0.0247,-0.015936254980079667
TSLZ,1.52,1.625,1.65,1.5,96106848.0,1.6999,0.046092307692307655
JPMpJ,20.32,20.36,20.47,20.31,104248.0,20.41,0.0024557956777997436
PAPL,3.79,5.14,7.88,3.54,33556762.0,4.0,-0.22178988326848248
XYL,137.705,144.62,144.83,135.0,3539216.0,142.08,-0.017563269257364067
LCCCR,0.215,0.215,0.215,0.215,25000.0,0.22,0.023255813953488413
SGRP,1.1,1.1,1.12,1.08,104588.0,1.1,0.0
GLOV,54.95,54.68,55.0476,54.534777,42036.0,54.305,-0.006858083394294057
KRG,22.75,21.98,23.19,21.895,2686248.0,21.64,-0.015468607825295688
BAMU,25.353,25.35,25.353,25.35,9414.0,25.35,0.0
FFDI,29.065,28.8961,29.065,28.8961,494.0,28.7,-0.006786382937489899
FNGG,229.6,219.2,229.6,218.33,16339.0,207.16,-0.054927007299270025
PPLT,118.36,117.81,118.97,117.24704,423933.0,120.5,0.022833375774552245
LPAAW,0.2602,0.2304,0.2602,0.2304,3691.0,0.2303,-0.0004340277777776791
NEWTG,25.15,25.23,25.24,25.15,3001.0,25.15,-0.0031708283789140257
IHAK,52.05,50.91,52.05,50.9,64414.0,50.39,-0.0102141033195835
